PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,
PMC7300900,10.1002/agm2.12113,Journal Article,26-Apr-2020 0:00:00,26-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/24750360/homepage/EditorialBoard.html,1,1,3,GUIDELINES AND CONSENSUS,
PMC7262106,10.1002/ca.23601,Journal Article,02-Apr-2020 0:00:00,02-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10982353/homepage/editorialboard.html,0,0,0,Viewpoint,
PMC7228289,10.1002/ccd.28888,Journal Article,25-Mar-2020 0:00:00,25-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1522726x/homepage/editorialboard.html,0,0,3,Article,
PMC7240840,10.1002/ctm2.16,Journal Article,14-Mar-2020 0:00:00,14-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,1,1,0,Short communication,
PMC7285843,10.1002/ctm2.7,Journal Article,03-Mar-2020 0:00:00,03-Mar-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,0,0,0,Short communication,
PMC7272887,10.1002/eat.23293,Journal Article / Editorial,30-Apr-2020 0:00:00,30-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,1,4,0,Editorial,
PMC7280562,10.1002/eat.23300,Journal Article / Comment,08-May-2020 0:00:00,08-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,0,0,1,Commentary,
PMC7267427,10.1002/hed.26213,Journal Article,14-Apr-2020 0:00:00,14-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,1,0,0,Review,
PMC7267608,10.1002/hed.26230,Journal Article,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7276902,10.1002/hed.26258,Journal Article,28-Apr-2020 0:00:00,28-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7276716,10.1002/hed.26259,Journal Article,28-Apr-2020 0:00:00,28-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7280620,10.1002/hed.26270,Journal Article,05-May-2020 0:00:00,05-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7280616,10.1002/hed.26280,Journal Article,06-May-2020 0:00:00,06-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,
PMC7262302,10.1002/mus.26891,Journal Article,08-Apr-2020 0:00:00,08-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/10974598/homepage/editorialboard.html,0,1,0,Article,
PMC7300595,10.1002/pa.2164,Journal Article / Comment,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Commentary,
PMC7323063,10.1002/pa.2195,Journal Article,19-May-2020 0:00:00,19-May-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Article,
PMC7235469,10.1002/pbc.28409,Journal Article,24-Apr-2020 0:00:00,24-Apr-2020 0:00:00,0,https://onlinelibrary.wiley.com/page/journal/15455017/homepage/editorialboard.html,0,1,2,Article,
