PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment (paper type),
PMC7042881,10.1001/jama.2020.1585,Journal Article,02-Feb-2020 0:00:00,03-Feb-2020 0:00:00,1,https://jamanetwork.com/journals/jama/fullarticle/2767868,0,0,0,Original Investigation ,
PMC7189331,10.1001/jamaoto.2020.1081,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2767625,0,0,0,Research Letter ,
PMC7285927,10.1002/acm2.12896,Journal Article,12-Apr-2020 0:00:00,13-Apr-2020 0:00:00,1,https://aapm.onlinelibrary.wiley.com/hub/journal/15269914/editorial-board/editorial-board,0,1,0,Original Communication,
PMC7262337,10.1002/ajh.25829,Journal Article / Review,07-Apr-2020 0:00:00,08-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10968652/homepage/editorialboard.html,0,0,0,Critical Review,
PMC7262089,10.1002/alr.22579,Journal Article,05-Apr-2020 0:00:00,06-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/20426984/homepage/editorialboard.html,0,0,0,Original Article,
PMC7267458,10.1002/bab.1936,Journal Article / Editorial,27-Apr-2020 0:00:00,28-Apr-2020 0:00:00,1,https://iubmb.onlinelibrary.wiley.com/hub/journal/14708744/editorial-board.html,0,0,0,Editorial,
PMC7267397,10.1002/bjs.11679,Journal Article / Review,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://bjssjournals.onlinelibrary.wiley.com/hub/journal/13652168/editorialboard.html,0,0,0,Review,
PMC7262270,10.1002/bmb.21351,Journal Article,26-Mar-2020 0:00:00,27-Mar-2020 0:00:00,1,https://iubmb.onlinelibrary.wiley.com/hub/journal/15393429/editorial-board.html,0,0,0,Article,
PMC7264551,10.1002/ccd.28889,Journal Article,24-Mar-2020 0:00:00,25-Mar-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/1522726x/homepage/editorialboard.html,0,0,0,Core Curriculum,
PMC7162033,10.1002/ceat.200800176,Journal Article,03-Apr-2008 0:00:00,04-Apr-2008 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/15214125/homepage/2044_edbd.html,0,0,0,Review,
PMC7228318,10.1002/dmrr.3321,Journal Article / Comment,25-Mar-2020 0:00:00,26-Mar-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/15207560/homepage/editorialboard.html,0,0,1,Commentary,
PMC7267278,10.1002/eat.23279,Journal Article / Editorial,09-Apr-2020 0:00:00,10-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,1,1,1,Editorial,
PMC7262276,10.1002/ejhf.1828,Journal Article / Case Report,06-Apr-2020 0:00:00,07-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/18790844/homepage/editorialboard.html,0,1,0,Case Report,
PMC7228313,10.1002/hbe2.192,Journal Article,25-Mar-2020 0:00:00,26-Mar-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/25781863/homepage/editorial-board,1,0,0,Editorial,
PMC7262070,10.1002/hed.26161,Journal Article,30-Mar-2020 0:00:00,31-Mar-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7262192,10.1002/hed.26165,Journal Article,07-Apr-2020 0:00:00,08-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7262141,10.1002/hed.26168,Journal Article,03-Apr-2020 0:00:00,04-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7262107,10.1002/hed.26171,Journal Article,03-Apr-2020 0:00:00,04-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7262329,10.1002/hed.26183,Journal Article,03-Apr-2020 0:00:00,04-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Commentary,
PMC7262168,10.1002/hed.26184,Journal Article,03-Apr-2020 0:00:00,04-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,1,0,Special Issue Article,
PMC7264612,10.1002/hed.26189,Journal Article,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7264650,10.1002/hed.26191,Journal Article,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7264503,10.1002/hed.26193,Journal Article,08-Apr-2020 0:00:00,09-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7267519,10.1002/hed.26211,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7267300,10.1002/hed.26212,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7267518,10.1002/hed.26214,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7267333,10.1002/hed.26215,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,1,0,Special Issue Article,
PMC7267369,10.1002/hed.26216,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Special Issue Article,
PMC7267530,10.1002/hed.26217,Journal Article,13-Apr-2020 0:00:00,14-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,1,0,Special Issue Article,
PMC7267510,10.1002/hed.26229,Journal Article,21-Apr-2020 0:00:00,22-Apr-2020 0:00:00,1,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,1,0,Special Issue Article,
