PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7300900,10.1002/agm2.12113,Journal Article,26/04/2020,26/04/2020,0,https://onlinelibrary.wiley.com/page/journal/24750360/homepage/EditorialBoard.html,1,1,3,GUIDELINES AND CONSENSUS,Guideline and consensus,Guideline,Editorial
PMC7262106,10.1002/ca.23601,Journal Article,02/04/2020,02/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10982353/homepage/editorialboard.html,0,0,0,Viewpoint,Viewpoint,Viewpoint,Editorial
PMC7228289,10.1002/ccd.28888,Journal Article,25/03/2020,25/03/2020,0,https://onlinelibrary.wiley.com/page/journal/1522726x/homepage/editorialboard.html,0,0,3,Article,Core curriculum,Guideline,Editorial
PMC7240840,10.1002/ctm2.16,Journal Article,14/03/2020,14/03/2020,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,1,1,0,Short communication,Short communication,Review,Editorial
PMC7285843,10.1002/ctm2.7,Journal Article,03/03/2020,03/03/2020,0,https://onlinelibrary.wiley.com/page/journal/20011326/homepage/editorial-board,0,0,0,Short communication,Short communication,Perspective,Editorial
PMC7272887,10.1002/eat.23293,Journal Article / Editorial,30/04/2020,30/04/2020,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,1,4,0,Editorial,Editorial,Editorial,Editorial
PMC7280562,10.1002/eat.23300,Journal Article / Comment,08/05/2020,08/05/2020,0,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/editorialboard.html,0,0,1,Commentary,Commentary,Commentary,Editorial
PMC7267427,10.1002/hed.26213,Journal Article,14/04/2020,14/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,1,0,0,Review,Special Issue,Review,Editorial
PMC7267608,10.1002/hed.26230,Journal Article,24/04/2020,24/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,Special Issue,Guideline,Editorial
PMC7276902,10.1002/hed.26258,Journal Article,28/04/2020,28/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,Special Issue,Guideline,Editorial
PMC7276716,10.1002/hed.26259,Journal Article,28/04/2020,28/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,Special Issue,Perspective,Editorial
PMC7280620,10.1002/hed.26270,Journal Article,05/05/2020,05/05/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,Special Issue,Guideline,Editorial
PMC7280616,10.1002/hed.26280,Journal Article,06/05/2020,06/05/2020,0,https://onlinelibrary.wiley.com/page/journal/10970347/homepage/editorialboard.html,0,0,0,Article,Special Issue,Article,Article
PMC7262302,10.1002/mus.26891,Journal Article,08/04/2020,08/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10974598/homepage/editorialboard.html,0,1,0,Article,AANEM pratice topic,Guideline,Editorial
PMC7300595,10.1002/pa.2164,Journal Article / Comment,24/04/2020,24/04/2020,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Commentary,Commentary,Commentary,Editorial
PMC7323063,10.1002/pa.2195,Journal Article,19/05/2020,19/05/2020,0,https://onlinelibrary.wiley.com/page/journal/14791854/homepage/editorialboard.html,0,0,0,Article,Academic paper,Article,Article
PMC7235469,10.1002/pbc.28409,Journal Article,24/04/2020,24/04/2020,0,https://onlinelibrary.wiley.com/page/journal/15455017/homepage/editorialboard.html,0,1,2,Article,Special report,Guideline,Editorial
PMC7267574,10.1002/ppul.24800,Journal Article,17/04/2020,17/04/2020,0,https://onlinelibrary.wiley.com/page/journal/10990496/homepage/editorialboard.html,0,1,1,Commentary,Commentary,Commentary,Editorial
PMC7250260,10.1007/s00266-020-01789-w,Journal Article / Letter,11/05/2020,11/05/2020,0,https://www.springer.com/journal/266/editors,0,0,0,Letter to the Editor,Letter to the editor,Article,Article
PMC7232926,10.1007/s11357-020-00195-z,Journal Article,23/04/2020,23/04/2020,0,https://www.springer.com/journal/11357/editors,0,0,0,Article,Short communication,Article,Article
PMC7153352,10.1007/s11605-020-04592-9,Journal Article / Review,31/03/2020,31/03/2020,0,https://www.springer.com/journal/11605/editors,0,0,1,Review,Review article,Review,Editorial
PMC7095352,10.1007/s11684-020-0765-x,Journal Article,04/03/2020,04/03/2020,0,https://www.springer.com/journal/11684/editors,1,0,0,Commentary,Commentary,Commentary,Editorial
PMC7146012,10.1007/s12072-020-10043-z,Journal Article,07/04/2020,07/04/2020,0,https://www.springer.com/journal/12072/editors,0,0,1,Consensus,Consensus,Guideline,Editorial
PMC7183927,10.1007/s12098-020-03292-1,Journal Article / Review,02/04/2020,02/04/2020,0,https://www.springer.com/journal/12098/editors,1,1,0,Review,Review article,Review,Editorial
PMC7221011,10.1007/s12098-020-03322-y,Journal Article / Review,24/04/2020,24/04/2020,0,https://www.springer.com/journal/12098/editors,1,1,0,Review,Review article,Review,Editorial
PMC7305054,10.1007/s12103-020-09547-z,Journal Article,12/06/2020,12/06/2020,0,https://www.springer.com/journal/12103/editors,0,1,0,Article,-,Perspective,Editorial
PMC7091166,10.1007/s12519-020-00345-5,Journal Article / Review,02/02/2020,02/02/2020,0,https://www.springer.com/journal/12519/editors,1,0,2,Review,Review article,Guideline,Editorial
PMC7091420,10.1007/s12630-020-01591-x,Journal Article / Review,07/02/2020,07/02/2020,0,https://www.springer.com/journal/12630/editors,0,0,0,Review,Review article/brief review,Guideline,Editorial
PMC7205369,10.1007/s12630-020-01684-7,Journal Article,21/04/2020,21/04/2020,0,https://www.springer.com/journal/12630/editors,0,0,1,Article,Special article,Article,Article
PMC7258604,10.1007/s40558-020-00181-3,Journal Article,22/05/2020,22/05/2020,0,https://www.springer.com/journal/40558/editors,1,8,0,Viewpoint,Viewpoint,Viewpoint,Editorial
PMC7181986,10.1016/j.acuro.2020.04.006,Journal Article / Review,21/04/2020,21/04/2020,0,https://www.sciencedirect.com/journal/actas-urologicas-espanolas/about/editorial-board,0,0,0,Article,Artículo de revisión,Article,Article
PMC7198203,10.1016/j.admp.2020.04.018,Journal Article,29/04/2020,29/04/2020,0,https://www.journals.elsevier.com/archives-des-maladies-professionnelles-et-de-lenvironnement/editorial-board,0,4,0,Review,Revue générale,Review,Editorial
PMC7102610,10.1016/j.adro.2020.03.003,Journal Article,16/03/2020,16/03/2020,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Opinion,Brief opinion,Opinion,Editorial
PMC7270882,10.1016/j.adro.2020.03.004,Journal Article / Review,17/03/2020,17/03/2020,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Letter to the Editor,Brief opinion,Opinion,Editorial
PMC7195454,10.1016/j.adro.2020.03.012,Journal Article,24/03/2020,24/03/2020,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief reporting,Brief opinion,Opinion,Editorial
PMC7212958,10.1016/j.adro.2020.04.021,Journal Article,13/04/2020,13/04/2020,0,https://www.journals.elsevier.com/advances-in-radiation-oncology/editorial-board,0,0,0,Brief opinion,Brief opinion,Guideline,Editorial
PMC7102516,10.1016/j.ajem.2020.03.036,Journal Article,22/03/2020,22/03/2020,0,https://www.journals.elsevier.com/american-journal-of-emergency-medicine/editorial-board,0,0,1,Article,Full length article,Review,Editorial
