PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7227451,10.1038/s41423-020-0458-z,Journal Article,13/04/2020,29/04/2020,16,https://www.nature.com/cmi/about/editorial-board,0,0,1,Article,Article,Article,Article
PMC7245288,10.1016/j.chaos.2020.109930,Journal Article,05/05/2020,21/05/2020,16,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7256618,10.1016/j.chaos.2020.109946,Journal Article,10/05/2020,26/05/2020,16,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7254021,10.1016/j.chaos.2020.109944,Journal Article,10/05/2020,26/05/2020,16,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7324354,10.1016/j.chaos.2020.110054,Journal Article,07/06/2020,23/06/2020,16,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7289745,10.1016/j.clim.2020.108509,Journal Article,25/05/2020,10/06/2020,16,https://www.sciencedirect.com/journal/clinical-immunology/about/editorial-board,0,0,0,Article,-,Article,Article
PMC7227500,10.1016/j.cmi.2020.05.007,Journal Article,21/04/2020,07/05/2020,16,https://www.sciencedirect.com/journal/clinical-microbiology-and-infection/about/editorial-board,0,0,0,Article,Original article,Article,Article
PMC7265762,10.7759/cureus.7923,Journal Article,16/04/2020,02/05/2020,16,https://www.cureus.com/editorial_board,0,0,0,Article,Original article,Article,Article
PMC7229921,10.1016/j.dld.2020.05.014,Journal Article,20/04/2020,06/05/2020,16,https://www.dldjournalonline.com/content/edboard,0,1,1,Article,ALIMENTARY TRACT ,Article,Article
PMC7144318,10.1080/22221751.2020.1743767,Journal Article,24/02/2020,11/03/2020,16,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=temi20,0,0,0,Article,Article,Article,Article
PMC7160440,10.2807/1560-7917.ES.2020.25.14.2000398,Journal Article,23/03/2020,08/04/2020,16,https://www.eurosurveillance.org/board,0,0,0,Article,Rapid communication,Article,Article
PMC7233252,10.1053/j.gastro.2020.05.032,Journal Article,22/04/2020,08/05/2020,16,https://www.gastrojournal.org/content/editorial-board,0,0,0,Article,Original Research ,Article,Article
PMC7278419,10.1590/1678-4685-GMB-2020-0104,Journal Article,06/04/2020,22/04/2020,16,https://www.scielo.br/revistas/gmb/iedboard.htm,0,0,0,Article,Original article,Article,Article
PMC7291963,10.1016/j.ygeno.2020.06.016,Journal Article,23/05/2020,08/06/2020,16,https://www.sciencedirect.com/journal/genomics/about/editorial-board,0,0,0,Article,Original article,Article,Article
PMC7246819,10.3390/ijerph17093165,Journal Article,13/04/2020,29/04/2020,16,https://www.mdpi.com/journal/ijerph/editors,0,0,2,Article,Article,Article,Article
PMC7193136,10.1016/j.ijid.2020.03.013,Journal Article,19/02/2020,06/03/2020,16,https://www.ijidonline.com/content/edboard,0,0,0,Article,-,Article,Article
PMC7195003,10.1016/j.ijid.2020.04.041,Journal Article,01/04/2020,17/04/2020,16,https://www.ijidonline.com/content/edboard,0,0,0,Article,-,Article,Article
PMC7324660,10.1017/ipm.2020.75,Journal Article,19/05/2020,04/06/2020,16,https://www.cambridge.org/core/journals/irish-journal-of-psychological-medicine/information/editorial-board,0,0,2,Article,First View,Article,Article
PMC7195441,10.1016/j.jcmg.2020.04.014,Journal Article,08/04/2020,24/04/2020,16,https://www.sciencedirect.com/journal/jacc-cardiovascular-imaging/about/editorial-board,0,0,0,Article,Clinical research,Article,Article
PMC7074197,10.3390/jcm9020538,Journal Article,25/01/2020,10/02/2020,16,https://www.mdpi.com/journal/jcm/editors,0,0,1,Article,Article,Article,Article
PMC7141128,10.3390/jcm9030637,Journal Article,08/02/2020,24/02/2020,16,https://www.mdpi.com/journal/jcm/editors,0,0,1,Article,Article,Article,Article
PMC7228212,10.1002/jmv.25789,Journal Article,29/02/2020,16/03/2020,16,https://onlinelibrary.wiley.com/page/journal/10969071/homepage/editorialboard.html,0,0,0,Article,Research article,Article,Article
PMC7229764,10.1016/j.mbs.2020.108378,Journal Article,27/04/2020,13/05/2020,16,https://www.sciencedirect.com/journal/mathematical-biosciences/about/editorial-board,0,0,0,Article,Original research article ,Article,Article
PMC7177057,10.1016/j.mehy.2020.109757,Journal Article,05/04/2020,21/04/2020,16,https://www.journals.elsevier.com/medical-hypotheses/editorial-board,0,0,0,Article,-,Article,Article
PMC7252159,10.1016/j.psychres.2020.113098,Journal Article,25/04/2020,11/05/2020,16,https://www.journals.elsevier.com/psychiatry-research/editorial-board,0,0,0,Article,-,Article,Article
PMC7218384,10.1016/j.ssci.2020.104830,Journal Article,24/04/2020,10/05/2020,16,https://www.journals.elsevier.com/safety-science/editorial-board,0,1,1,Article,-,Article,Article
PMC7164555,10.1126/science.abb6936,Journal Article,11/03/2020,27/03/2020,16,https://www.sciencemag.org/about/editors-and-editorial-boards,0,0,0,Article,Research article,Article,Article
PMC7258764,10.1161/STROKEAHA.120.030335,Journal Article,20/04/2020,06/05/2020,16,https://www.ahajournals.org/str/editorial-board,0,0,0,Article,Research article,Article,Article
PMC7227170,10.1007/s12603-020-1389-1,Journal Article,25/04/2020,11/05/2020,16,https://www.springer.com/journal/12603/editors,0,0,0,Article,-,Article,Article
PMC7303629,10.1016/j.scitotenv.2020.140370,Journal Article,01/06/2020,17/06/2020,16,https://www.journals.elsevier.com/science-of-the-total-environment/editorial-board,0,0,0,Article,-,Article,Article
PMC7077191,10.3390/v12020244,Journal Article,04/02/2020,20/02/2020,16,https://www.mdpi.com/journal/viruses/editors,0,0,0,Article,Communication,Article,Article
PMC7291090,10.3390/v12050525,Journal Article,22/04/2020,08/05/2020,16,https://www.mdpi.com/journal/viruses/editors,0,0,0,Article,Article,Article,Article
PMC7275151,10.1016/j.cell.2020.06.008,Journal Article,18/05/2020,03/06/2020,16,https://www.cell.com/cell/editorial-board,0,0,0,Article special,Article,Article,Article
PMC7302101,10.14309/ajg.0000000000000712,Journal Article,13/04/2020,29/04/2020,16,https://journals.lww.com/ajg/pages/editorialboard.aspx,0,0,0,Brief communication,Brief communication,Article,Article
PMC7128692,10.1016/j.jhin.2020.03.036,Journal Article,11/03/2020,27/03/2020,16,https://www.journals.elsevier.com/journal-of-hospital-infection/editorial-board,0,0,0,Case report,-,Article,Article
PMC7280094,10.1016/j.jclinepi.2020.06.004,Journal Article,17/05/2020,02/06/2020,16,https://www.sciencedirect.com/journal/journal-of-clinical-epidemiology/about/editorial-board,1,0,0,Original Article,Original Article,Article,Article
PMC7162649,10.2196/18811,Journal Article,20/03/2020,05/04/2020,16,https://publichealth.jmir.org/about/editorialTeam,0,0,0,Original Paper,Original Paper,Article,Article
PMC7207014,10.2196/19368,Journal Article,15/04/2020,01/05/2020,16,https://publichealth.jmir.org/about/editorialTeam,0,0,0,Original Paper,Original Paper,Article,Article
PMC7276322,10.1016/j.immuni.2020.06.001,Journal Article,12/05/2020,28/05/2020,16,https://www.cell.com/immunity/about,0,0,0,Report,Report,Article,Article
PMC7284137,10.1080/07391102.2020.1771424,Journal Article,25/04/2020,11/05/2020,16,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tbsd20,0,0,0,Research article,Research article,Article,Article
PMC7210505,10.1001/jama.2020.8097,Journal Article,13/04/2020,29/04/2020,16,https://jamanetwork.com/journals/jama/fullarticle/2770016,0,0,0,Research Letter,Research Letter,Article,Article
PMC7097836,10.1001/jamaoncol.2020.0980,Journal Article,24/02/2020,11/03/2020,16,https://jamanetwork.com/journals/jamaoncology/fullarticle/2769361,0,0,0,Research Letter,Research Letter,Article,Article
PMC7202265,10.1007/s40520-020-01570-8,Journal Article,30/03/2020,15/04/2020,16,https://www.springer.com/journal/40520/editors,0,0,1,Short communication,Short communication,Article,Article
PMC7245639,10.1007/s00405-020-06066-9,Journal Article,30/04/2020,16/05/2020,16,https://www.springer.com/journal/405/editors,0,0,0,Short communication,Short communication,Article,Article
PMC7276866,10.1111/tan.13941,Journal Article,29/04/2020,15/05/2020,16,https://onlinelibrary.wiley.com/page/journal/20592310/homepage/editorialboard.html,0,0,1,Short communication,Brief communication,Article,Article
PMC7235476,10.1111/dth.13470,Journal Article,07/04/2020,23/04/2020,16,https://onlinelibrary.wiley.com/page/journal/15298019/homepage/editorialboard.html,0,0,0,Short paper,Short paper,Article,Article
PMC7268273,10.2807/1560-7917.ES.2020.25.21.2000903,Journal Article,12/05/2020,28/05/2020,16,https://www.eurosurveillance.org/board,0,0,0,Article,Rapid communication,Article,Article
PMC7319195,10.1007/s12262-020-02443-0,Journal Article,13/05/2020,29/05/2020,16,https://www.springer.com/journal/12262/editors,0,0,1,Article,Original article,Article,Article
PMC7250769,10.1016/j.idh.2020.05.003,Journal Article / Letter,18/04/2020,04/05/2020,16,https://www.idhjournal.com.au/content/edboard,0,0,0,Letter to the Editor,Letter to the editor,Article,Article
PMC7211621,10.1016/j.ijinfomgt.2020.102143,Journal Article / Case Report,19/04/2020,05/05/2020,16,https://www.sciencedirect.com/journal/international-journal-of-information-management/about/editorial-board,0,0,1,Article,-,Case report,Article
PMC7228349,10.1111/ajt.15869,Journal Article / Case Report,28/02/2020,15/03/2020,16,https://onlinelibrary.wiley.com/page/journal/16006143/homepage/editorialboard.html,0,0,0,Case report,Case report,Case report,Article
PMC7255085,10.7759/cureus.7857,Journal Article / Case Report,11/04/2020,27/04/2020,16,https://www.cureus.com/editorial_board,0,0,0,Case report,Case report,Case report,Article
PMC7325395,10.7759/cureus.8350,Journal Article / Case Report,13/05/2020,29/05/2020,16,https://www.cureus.com/editorial_board,0,0,0,Case report,Case report,Case report,Article
PMC7294893,10.7759/cureus.8599,Journal Article / Case Report,28/05/2020,13/06/2020,16,https://www.cureus.com/editorial_board,0,0,0,Case report,Case report,Case report,Article
PMC7293425,10.1007/s15010-020-01458-9,Journal Article,13/05/2020,29/05/2020,16,https://www.springer.com/journal/15010/editors,0,0,0,Case Report,Case report,Case report,Article
PMC7263262,10.1016/j.ijid.2020.05.118,Journal Article / Case Report,12/05/2020,28/05/2020,16,https://www.ijidonline.com/content/edboard,0,0,0,Case Report,Case report,Case report,Article
PMC7290201,10.1016/j.jaccas.2020.05.049,Journal Article / Case Report,27/04/2020,13/05/2020,16,https://www.sciencedirect.com/journal/jacc-case-reports/about/editorial-board,0,0,0,Case Report,Case report,Case report,Article
