nr,DOI,type
1,10.1016/j.ajog.2020.06.021,article
2,10.1056/NEJMoa2007621,article
3,10.1016/S0140-6736(20)31180-6,article
4,10.1016/j.tmaid.2020.101665,article
5,10.1101/2020.05.05.20088757,preprint
6,10.1016/j.jaad.2020.04.140,article
7,10.1016/j.jflm.2020.101964,article
8,10.25796/bdd.v3i1.54503,article
9,10.1101/2020.04.08.20058578,preprint
10,10.1016/j.ijantimicag.2020.105949,article
11,10.1016/j.japh.2020.04.007,article
12,10.1016/j.eng.2020.03.007,article
13,10.3760/cma.j.cn112338-20200221-00144,article
14,10.1101/2020.02.23.20026872,preprint
15,10.1016/S2214-109X(20)30065-6,article
16,10.1038/s41423-020-0424-9,article
17,10.7326/M20-1342,article
18,10.1101/2020.04.10.036020,preprint
19,10.1101/2020.04.04.025080,preprint
20,10.1093/nsr/nwaa036,article
21,10.1016/j.japh.2020.04.004,article
22,10.1101/2020.02.10.20021675,preprint
23,10.3760/cma.j.issn.0578-1310.2020.0008,article
