ID,Title,URL,Reasons,Explanations Link,Pubpeer concerns,Pubpeer Link
Retractions,,,,,,
1,Uncanny similarity of unique inserts in the 2019-nCoV spike protein to HIV-1 gp120 and Gag,https://www.biorxiv.org/content/10.1101/2020.01.30.927871v2,Methods and interpretation,https://www.statnews.com/2020/02/03/retraction-faulty-coronavirus-paper-good-moment-for-science/,N/A,https://pubpeer.com/publications/34A9007C4CA47C369B6D410D2D4AB6
2,Epidemiological and clinical features of the 2019 novel coronavirus outbreak in China,https://www.medrxiv.org/content/10.1101/2020.02.10.20021675v2,Analysis based on data from a retracted preprint,https://retractionwatch.com/2020/04/26/authors-to-correct-influential-imperial-college-covid-19-report-after-learning-it-cited-a-withdrawn-preprint/,N/A,https://pubpeer.com/publications/4EDC83802AC89A60DCC390BE09F969
3,Chinese medical staff request international medical assistance in fighting against COVID-19,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30065-6/fulltext,Correspondence-type article based on a testimony that was not obtained first-hand,https://retractionwatch.com/2020/02/27/lancet-journal-retracts-letter-on-coronavirus-because-authors-say-it-was-not-a-first-hand-account-after-all/,Correspondence-type article based on a testimony that was not obtained first-hand,https://pubpeer.com/publications/507AA57E9F0F93A027F4C3B3E83968
4,Potential False-Positive Rate Among the ‘Asymptomatic Infected Individuals’ in Close Contacts of COVID-19 Patients,https://pubmed.ncbi.nlm.nih.gov/32133832/,Findings based on deductions not data,https://www.npr.org/sections/health-shots/2020/03/26/822084429/in-defense-of-coronavirus-testing-strategy-administration-cited-retracted-study,"Paper not available, explanation only given on the NPR website",https://pubpeer.com/publications/BA64B24C7121C28CF1716D88EFB47A
5,An epidemiological investigation of 2019 novel coronavirus diseases through aerosol－borne transmission by public transport,https://kns.cnki.net/kcms/detail/43.1223.r.20200304.1634.008.html,Not explained,https://kns.cnki.net/kcms/detail/43.1223.r.20200304.1634.008.html,N/A,N/A
6,First viral replication of Covid-19 identified in the peritoneal dialysis fluid,https://bdd.rdplf.org/index.php/bdd/article/view/54503,Findings based on a false-positive PCR test,https://retractionwatch.com/2020/05/12/covid-19-and-sex-rapid-fire-acceptance-leads-to-hasty-withdrawal-of-paper/,N/A,https://pubpeer.com/publications/FEEC1383386DB66ADFD9A0438F1547
7,Hydroxychloroquine plus azithromycin: a potential interest in reducing in-hospital morbidity due to COVID-19 pneumonia (HI-ZY-COVID),https://www.medrxiv.org/content/10.1101/2020.05.05.20088757v2,Not explained,https://retractionwatch.com/2020/05/21/french-hydroxychloroquine-covid-19-study-withdrawn/,Methodological issues,https://pubpeer.com/publications/FBE8BF9C39E07364D974620AF5ED7D
8,From SARS-CoV to Wuhan 2019-nCoV Outbreak: Similarity of Early Epidemic and Prediction of Future Trends,https://www.biorxiv.org/content/10.1101/2020.01.24.919241v4,Consent from all authors not obtained,https://www.biorxiv.org/content/10.1101/2020.01.24.919241v4,N/A,https://pubpeer.com/publications/9754857F075FC190E1437A7522356E
9,Analysis of Ten Microsecond simulation data of SARS-CoV-2 dimeric main protease,https://www.biorxiv.org/content/10.1101/2020.04.10.036020v2,No consent to use the data,https://www.biorxiv.org/content/10.1101/2020.04.10.036020v2,N/A,https://pubpeer.com/publications/8DB3CD55420847737C05B07ADA7647
